	1
Length min	170.0
Length 1%	170.0
Length 25%	177.0
Length median	178.0
Length 75%	181.0
Length 99%	194.0
Length max	207.0
N uniques	41492.0
Sequence Entropy	10.63
8mer Entropy	8.18
16mer Entropy	10.69
24mer Entropy	12.27
32mer Entropy	13.02
