	1
Length min	170.0
Length 1%	171.0
Length 25%	177.0
Length median	180.0
Length 75%	181.0
Length 99%	194.0
Length max	207.0
N uniques	323225.0
Sequence Entropy	12.69
8mer Entropy	8.04
16mer Entropy	10.65
24mer Entropy	12.09
32mer Entropy	12.88
