	1
Length min	170.0
Length 1%	171.0
Length 25%	181.0
Length median	181.0
Length 75%	181.0
Length 99%	181.0
Length max	207.0
N uniques	239222.0
Sequence Entropy	12.39
8mer Entropy	7.72
16mer Entropy	10.14
24mer Entropy	11.64
32mer Entropy	12.54
